iter	Passed	Remaining
0	145	145168
1	146	72984
2	147	48890
3	147	36800
4	148	29544
5	149	24692
6	149	21213
7	150	18617
8	150	16597
9	151	14973
10	151	13651
11	152	12551
12	153	11616
13	153	10833
14	154	10146
15	155	9538
16	155	8997
17	156	8523
18	157	8107
19	157	7738
20	158	7399
21	159	7086
22	160	6805
23	161	6549
24	161	6314
25	162	6096
26	163	5890
27	164	5695
28	164	5513
29	165	5342
30	165	5187
31	166	5040
32	167	4901
33	168	4775
34	168	4651
35	169	4538
36	170	4428
37	170	4324
38	171	4225
39	172	4133
40	173	4049
41	173	3964
42	174	3884
43	175	3805
44	175	3729
45	176	3656
46	176	3587
47	177	3520
48	178	3456
49	178	3395
50	179	3335
51	179	3276
52	180	3220
53	180	3166
54	181	3113
55	181	3064
56	182	3015
57	182	2970
58	183	2928
59	184	2888
60	185	2849
61	185	2811
62	186	2775
63	187	2740
64	188	2706
65	188	2671
66	189	2639
67	190	2610
68	191	2579
69	192	2552
70	192	2523
71	193	2494
72	194	2467
73	195	2440
74	195	2414
75	196	2388
76	197	2362
77	197	2338
78	198	2315
79	199	2290
80	199	2265
81	200	2242
82	200	2217
83	201	2196
84	202	2175
85	202	2155
86	203	2135
87	204	2117
88	205	2098
89	205	2078
90	206	2059
91	206	2040
92	207	2021
93	207	2003
94	208	1985
95	208	1967
96	209	1949
97	209	1932
98	210	1915
99	211	1899
100	211	1883
101	212	1868
102	212	1853
103	213	1838
104	213	1823
105	214	1808
106	215	1794
107	215	1780
108	216	1766
109	216	1754
110	217	1741
111	218	1731
112	219	1720
113	219	1708
114	220	1696
115	221	1684
116	221	1671
117	222	1660
118	222	1649
119	223	1637
120	223	1626
121	224	1614
122	225	1604
123	225	1595
124	226	1585
125	227	1576
126	227	1566
127	228	1556
128	229	1548
129	229	1538
130	230	1529
131	231	1519
132	231	1511
133	232	1503
134	233	1496
135	234	1489
136	235	1481
137	235	1473
138	236	1465
139	237	1457
140	237	1449
141	238	1439
142	239	1432
143	239	1425
144	240	1418
145	241	1410
146	241	1402
147	242	1395
148	243	1388
149	243	1381
150	244	1373
151	244	1366
152	245	1358
153	245	1351
154	246	1343
155	247	1337
156	247	1331
157	248	1325
158	249	1319
159	250	1313
160	250	1305
161	251	1299
162	251	1292
163	252	1286
164	253	1280
165	253	1274
166	254	1268
167	254	1262
168	255	1256
169	256	1250
170	256	1245
171	257	1239
172	258	1233
173	258	1228
174	259	1222
175	259	1216
176	260	1210
177	260	1204
178	261	1199
179	262	1194
180	262	1189
181	263	1184
182	264	1180
183	264	1174
184	265	1169
185	265	1163
186	266	1159
187	267	1156
188	268	1151
189	268	1146
190	269	1141
191	269	1136
192	270	1130
193	271	1126
194	271	1120
195	272	1115
196	272	1110
197	273	1106
198	273	1101
199	274	1096
200	274	1091
201	275	1086
202	275	1082
203	276	1078
204	276	1073
205	277	1070
206	278	1066
207	279	1063
208	279	1059
209	280	1055
210	281	1051
211	281	1047
212	282	1043
213	282	1038
214	283	1034
215	283	1030
216	284	1026
217	285	1022
218	285	1018
219	286	1014
220	286	1010
221	287	1006
222	287	1002
223	288	998
224	288	994
225	289	990
226	289	987
227	290	983
228	291	979
229	291	976
230	292	972
231	292	969
232	293	965
233	294	962
234	294	959
235	295	956
236	296	953
237	296	950
238	297	946
239	297	943
240	298	939
241	298	936
242	299	932
243	299	929
244	300	925
245	300	922
246	301	918
247	301	915
248	302	912
249	302	908
250	303	905
251	304	902
252	304	899
253	305	896
254	305	892
255	306	889
256	306	887
257	307	884
258	308	881
259	308	879
260	309	877
261	310	875
262	311	873
263	312	870
264	313	868
265	313	866
266	314	863
267	315	860
268	315	857
269	316	854
270	316	851
271	317	848
272	317	845
273	318	843
274	318	840
275	319	837
276	319	834
277	320	831
278	320	828
279	321	826
280	321	823
281	322	820
282	323	819
283	324	817
284	324	815
285	325	813
286	326	811
287	327	809
288	327	806
289	328	804
290	329	802
291	329	799
292	330	797
293	331	795
294	331	793
295	332	791
296	333	788
297	333	786
298	334	784
299	335	782
300	336	780
301	336	778
302	337	776
303	338	774
304	339	772
305	339	770
306	340	769
307	341	767
308	342	765
309	342	762
310	343	760
311	344	758
312	344	756
313	345	754
314	345	752
315	346	750
316	347	747
317	347	745
318	348	743
319	348	741
320	349	739
321	350	737
322	350	735
323	351	733
324	352	731
325	353	729
326	353	728
327	354	726
328	355	724
329	356	722
330	356	721
331	357	719
332	358	717
333	358	715
334	359	713
335	360	711
336	360	709
337	361	707
338	362	706
339	362	704
340	363	702
341	363	700
342	364	698
